SeriesHash,SubjectID,MagneticFieldStrength,MRAcquisitionType,PulseSequenceName,SliceThickness,EchoTime,RepetitionTime,FlipAngle,EchoTrainLength,ParallelReductionFactorInPlane,AcquisitionDuration,PixelBandwidth,ImageOrientationPatientDICOM,BidsGuess,NIfTIPath
0000A47D,Min-Mo-004,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17.0,4.0,38.614,193,"[0.999848, 0.017425, -0.000978225, -0.0174524, 0.998276, -0.0560425]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\0000A47D\0000A47D_ax_t2_tse_Med_DRS_480_20251014000000_3.nii.gz
0000A941,Min-Mo-004,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.0415686, 0.986768, 0.156716, -0.0220469, 0.15772, -0.987238]","['anat', '_acq-spcR4p2_run-6_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\0000A941\0000A941_t1_space_sag_20251014000000_6.nii.gz
0000AB9B,Min-Mo-004,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[1, 0, 0, 0, 1, 0]","['derived', '_acq-spcR4p2_run-10_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\0000AB9B\0000AB9B_20251014000000_10.nii.gz
0000DF0C,Min-Mo-004,3.0,3D,*swi3d1r,12.8,0.02,0.028,15,,2.0,,119,"[0.999848, 0.017425, -0.000978225, -0.0174524, 0.998276, -0.0560425]","['derived', '_acq-swi3p2_run-15_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\0000DF0C\0000DF0C_ax_swi_ge3d_20251014000000_15.nii.gz
00000323,Min-Mo-003,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17.0,2.0,88.997,191,"[0.999956, 0.00940466, -0.00067269, -0.0031639, 0.267483, -0.963557]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00000323\00000323_cor_t2_tse_20251001000000_16.nii.gz
00002DA5,Min-Mo-003,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17.0,2.0,182.139,191,"[0.999305, 0.019984, -0.0314727, -0.0174429, 0.996719, 0.0790399]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00002DA5\00002DA5_ax_t2_tse_20251001000000_2.nii.gz
00003227,Min-Mo-003,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999963, -0.00856621, 0.00069763, 0.00275134, 0.242157, -0.970233]","['derived', '_acq-spcR4p2_run-10_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00003227\00003227_20251001000000_10.nii.gz
00003ABC,Min-Mo-003,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999981, 0.0051409, 0.00333684, 0.0018671, 0.26304, -0.964783]","['derived', '_acq-spcR4p2_run-7_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00003ABC\00003ABC_20251001000000_7.nii.gz
00004243,Min-Mo-003,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,245.645,119,"[0.999305, 0.019984, -0.0314727, -0.0174429, 0.996719, 0.0790399]","['anat', '_acq-swi3p2_run-14_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00004243\00004243_ax_swi_ge3d_20251001000000_14.nii.gz
00004447,Min-Mo-003,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17.0,4.0,38.614,193,"[0.999305, 0.019984, -0.0314727, -0.0174429, 0.996719, 0.0790399]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00004447\00004447_ax_t2_tse_Med_DRS_480_20251001000000_3.nii.gz
00004678,Min-Mo-003,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.0611776, 0.985848, 0.15608, -0.0857346, 0.160985, -0.983226]","['anat', '_acq-spcR4p2_run-19_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00004678\00004678_sag_t1post_space_20251001000000_19.nii.gz
00005000,Min-Mo-003,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999963, -0.00856621, 0.000697696, 0.0027514, 0.242157, -0.970233]","['derived', '_acq-spcR4p2_run-22_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00005000\00005000_20251001000000_22.nii.gz
00005B85,Min-Mo-003,3.0,3D,*spcir_220ns,1.0,0.392,7.0,120,219.0,3.0,238.22,651,"[0.00218361, 0.987631, 0.156779, 0.00128444, 0.156777, -0.987633]","['func', '_acq-spcir2p3_dir-RL_run-11_bold']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00005B85\00005B85_sag_t2_spc_flair_fs_20251001000000_11.nii.gz
000063BF,Min-Mo-003,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[1, 0, 0, 0, 0.996143, 0.0877424]","['derived', '_acq-spcR4p2_run-9_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\000063BF\000063BF_20251001000000_9.nii.gz
0000B067,Min-Mo-003,3.0,3D,*swi3d1r,12.8,0.02,0.028,15,,2.0,,119,"[0.999305, 0.019984, -0.0314727, -0.0174429, 0.996719, 0.0790399]","['derived', '_acq-swi3p2_run-15_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\0000B067\0000B067_ax_swi_ge3d_20251001000000_15.nii.gz
